,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Unnamed: 0,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,firstInit
124,65,Jun 13,False,WSN,"L,0-5",32,32,0,5,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0.23,0.316,0.409,0.725,5,13,R,J.Ross(81),4408,97.0,4.36,1.222,8.2,1.4,2.8,9.1,3.21,J
125,66,Jun 14,True,ARI,"W,5-2",41,36,5,14,6,0,1,5,4,1,6,0,0,1,0,0,2,0,0.233,0.318,0.413,0.731,12,14,R,M.Peacock(35),206,86.0,4.98,1.564,11.2,1.4,2.9,5.2,1.79,M
126,67,Jun 15,True,ARI,"W,9-8",39,35,9,11,1,1,2,9,4,0,5,0,0,0,1,1,0,0,0.234,0.319,0.416,0.734,6,19,L,A.Young(41),209,68.0,6.29,1.68,10.8,2.4,4.3,8.2,1.9,A
127,68,Jun 16,True,ARI,"W,13-7",46,36,13,13,1,1,5,13,9,1,9,0,1,0,0,0,1,0,0.236,0.322,0.423,0.745,9,14,R,M.Kelly(36),196,95.0,4.11,1.291,9.3,1.2,2.3,7.4,3.17,M
128,69,Jun 17,True,ARI,"W,10-3",42,36,10,15,5,2,1,10,2,0,5,2,1,1,0,1,0,0,0.239,0.324,0.428,0.752,8,11,R,Z.Gallen(36),198,98.0,4.25,1.294,8.0,1.4,3.6,10.3,2.84,Z
129,70,Jun 18,True,PHI,"W,5-3",35,31,5,6,2,1,1,4,4,0,8,0,0,0,1,0,2,0,0.239,0.324,0.428,0.751,6,16,R,V.Velasquez(38),3075,70.0,5.59,1.482,8.4,1.9,5.0,9.4,1.89,V
130,71,Jun 19,True,PHI,"L,6-13",37,32,6,8,1,0,2,6,4,0,8,0,1,0,0,2,1,0,0.239,0.324,0.428,0.752,4,20,R,A.Nola(19),3073,90.0,3.37,1.129,8.2,1.3,1.9,11.1,5.72,A
131,72,Jun 20,True,PHI,"W,11-2",43,40,11,15,3,0,4,10,3,0,11,0,0,0,1,0,0,0,0.241,0.325,0.434,0.759,8,16,R,Z.Eflin(29),3074,100.0,3.68,1.249,9.9,1.3,1.4,8.4,6.19,Z
132,73,Jun 22,False,LAA,"W,5-0",39,38,5,12,2,0,2,5,1,0,14,0,0,0,0,1,0,0,0.242,0.325,0.435,0.761,7,12,L,A.Heaney(42),27,85.0,4.06,1.309,8.8,1.5,3.0,10.8,3.65,A
133,74,Jun 23,False,LAA,"W,9-3",55,49,9,11,2,0,2,8,6,1,19,0,0,0,0,0,1,0,0.242,0.325,0.434,0.759,11,11,R,S.Ohtani(63),25,141.0,3.52,1.09,6.8,1.0,3.0,10.8,3.55,S
134,75,Jun 25,True,OAK,"W,2-0",31,28,2,5,1,0,1,2,3,0,7,0,0,0,0,1,0,0,0.241,0.324,0.433,0.757,5,15,L,S.Manaea(66),2914,105.0,3.66,1.227,9.0,1.3,2.1,9.7,4.73,S
135,76,Jun 26,True,OAK,"W,6-5",44,36,6,9,1,0,2,6,7,0,9,1,0,0,0,0,1,0,0.241,0.325,0.433,0.758,11,18,R,F.Montas(57),2913,122.0,3.37,1.182,7.9,1.0,2.7,10.0,3.63,F
136,77,Jun 27,True,OAK,"L,2-6",35,31,2,6,2,0,0,1,2,0,9,2,0,0,0,2,0,0,0.241,0.325,0.431,0.756,6,16,L,C.Irvin(82),2915,97.0,4.3,1.329,9.8,1.2,2.1,6.3,2.98,C
137,78,Jun 28,False,LAD,"L,2-3",40,37,2,11,2,0,2,2,2,0,11,1,0,0,0,0,0,0,0.241,0.325,0.432,0.757,11,15,R,T.Bauer(55),2127,163.0,4.03,1.003,5.9,1.6,3.1,11.5,3.7,T
138,79,Jun 29,False,LAD,"L,1-3",33,30,1,3,2,0,0,1,2,0,10,1,0,0,1,1,0,0,0.24,0.324,0.429,0.753,5,15,R,W.Buehler(72),2124,171.0,3.16,0.968,6.5,0.8,2.3,9.2,4.08,W
139,80,Jul 1,False,ARI,"L,3-5",36,34,3,8,0,0,2,3,2,0,10,0,0,0,0,1,0,0,0.24,0.323,0.429,0.752,6,14,R,M.Kelly(58),196,95.0,4.11,1.291,9.3,1.2,2.3,7.4,3.17,M
140,81,Jul 2,False,ARI,"W,11-4",45,38,11,14,4,0,3,11,6,0,6,0,0,1,1,2,1,0,0.242,0.325,0.433,0.758,7,16,R,Z.Gallen(34),198,98.0,4.25,1.294,8.0,1.4,3.6,10.3,2.84,Z
141,82,Jul 3,False,ARI,"W,6-5",46,38,6,13,1,1,2,6,7,0,7,1,0,0,0,1,0,0,0.243,0.327,0.435,0.762,13,19,R,J.Faria(33),211,77.0,4.58,1.592,10.7,1.4,3.6,8.8,2.46,J
142,83,Jul 4,False,ARI,"W,5-2",34,33,5,6,2,0,2,5,1,0,9,0,0,0,0,0,0,0,0.242,0.325,0.435,0.76,2,13,L,C.Smith(46),202,87.0,5.1,1.372,7.4,1.6,5.0,9.8,1.97,C
143,84,Jul 5,True,STL,"L,3-5",35,32,3,6,0,0,1,3,3,0,6,0,0,0,0,1,0,0,0.242,0.325,0.433,0.758,5,16,L,K.Kim(71),3802,113.0,4.34,1.284,8.3,1.0,3.3,6.8,2.05,K
144,85,Jul 6,True,STL,"L,5-6",45,38,5,11,2,0,0,5,6,1,5,1,0,0,0,0,0,0,0.242,0.326,0.432,0.758,13,16,R,A.Wainwright(40),3801,128.0,3.66,1.057,7.3,0.9,2.2,7.6,3.48,A
145,86,Jul 7,True,STL,"W,5-2",41,32,5,8,3,0,1,5,8,1,7,1,0,0,0,0,1,0,0.242,0.327,0.432,0.759,12,15,R,J.Oviedo(47),3806,80.0,5.27,1.572,8.8,1.2,5.3,7.4,1.38,J
146,87,Jul 9,True,WSN,"W,5-3",35,33,5,10,1,0,3,5,1,0,5,1,0,0,0,1,0,0,0.243,0.327,0.434,0.761,6,19,R,P.Espino(37),4407,95.0,4.46,1.213,8.9,1.6,2.1,7.6,3.68,P
147,88,Jul 10,True,WSN,"W,10-4",46,37,10,14,3,0,1,10,6,0,10,0,1,2,2,0,1,0,0.245,0.329,0.435,0.764,12,14,L,J.Lester(17),4409,81.0,5.43,1.593,10.9,1.7,3.5,6.1,1.76,J
148,89,Jul 11,True,WSN,"W,3-1",35,30,3,8,1,0,1,3,4,1,11,0,1,0,0,0,0,0,0.245,0.329,0.435,0.764,8,13,R,E.Fedde(43),4405,74.0,4.66,1.44,9.7,1.6,3.2,8.6,2.67,E
149,90,Jul 16,False,STL,"W,7-2",39,37,7,10,2,0,3,7,2,1,8,0,0,0,0,0,0,0,0.245,0.329,0.437,0.765,5,20,R,A.Wainwright(52),3801,128.0,3.66,1.057,7.3,0.9,2.2,7.6,3.48,A
150,91,Jul 17,False,STL,"L,1-3",36,32,1,6,0,0,0,0,4,1,4,0,0,0,0,1,0,0,0.245,0.328,0.434,0.762,8,16,L,K.Kim(65),3802,113.0,4.34,1.284,8.3,1.0,3.3,6.8,2.05,K
151,92,Jul 18,False,STL,"L,1-2",38,32,1,5,0,0,1,1,5,1,10,1,0,0,0,0,0,0,0.244,0.328,0.432,0.76,10,16,L,W.LeBlanc(55),3816,109.0,5.58,1.441,9.6,1.5,3.4,4.9,1.44,W
152,93,Jul 19,False,LAD,"W,7-2",43,37,7,12,3,0,2,7,4,0,6,1,0,1,0,1,2,0,0.245,0.328,0.434,0.762,9,19,R,T.Gonsolin(37),2129,131.0,4.54,1.347,6.6,1.3,5.5,10.5,1.91,T
153,94,Jul 20,False,LAD,"L,6-8",38,35,6,7,1,0,4,6,3,0,13,0,0,0,2,1,0,0,0.244,0.328,0.435,0.763,5,16,L,D.Núñez(45),2151,54.0,7.74,1.565,9.4,3.5,4.7,9.4,2.0,D
154,95,Jul 21,False,LAD,"W,4-2",36,31,4,6,1,0,2,4,4,0,7,0,1,0,0,1,0,0,0.244,0.327,0.435,0.762,5,18,L,J.Urías(71),2125,143.0,3.13,1.018,7.3,0.9,1.8,9.5,5.13,J
155,96,Jul 22,False,LAD,"W,5-3",38,34,5,9,2,1,0,5,3,0,12,0,0,1,0,1,1,0,0.244,0.327,0.434,0.762,6,16,R,W.Buehler(72),2124,171.0,3.16,0.968,6.5,0.8,2.3,9.2,4.08,W
156,97,Jul 23,True,PIT,"L,4-6",38,33,4,8,2,1,2,4,4,0,14,1,0,0,0,2,1,0,0.244,0.327,0.436,0.763,7,17,R,C.Kuhl(51),3225,89.0,5.31,1.432,8.2,1.5,4.7,8.4,1.79,C
157,98,Jul 24,True,PIT,"L,2-10",33,31,2,5,1,0,1,1,1,0,12,1,0,0,0,1,0,0,0.243,0.326,0.434,0.761,4,14,R,W.Crowe(60),3217,78.0,5.67,1.569,9.7,1.9,4.4,8.6,1.95,W
158,99,Jul 25,True,PIT,"W,6-1",37,33,6,9,2,0,4,5,4,0,11,0,0,0,0,0,1,0,0.243,0.327,0.437,0.763,7,16,R,J.Brubaker(53),3216,80.0,5.16,1.295,8.9,2.0,2.8,9.3,3.39,J
