Date,Team 1 (Favorite),Team 2 (Underdog),,Team 1 Expected Runs,Team 1 Outcome,Team 2 Expected Runs,Team 2 Outcome,,Team 1 Implied Odds,Team 2 Implied Odds,,Team 1 Best Vegas Odds,Team 2 Best Vegas Odds,,Team 1 Arbitrage Value,Team 2 Arbitrage Value,,Favored Bets,Favored Bets,,Did Favored Bet Win?,Profit (in units),,
7/27/2024,Marlins,Brewers,,3.78,,2.51,,,-150.60,150.60,,140,-155,,290.60,-305.60,,140,,,Yes,1.4,,
7/27/2024,Red Sox,Yankees,,4.26,,3.21,,,-132.71,132.71,,-113,105,,19.71,-27.71,,-113,,,No,-1,,
7/27/2024,Mariners,White Sox,,4.43,,3.33,,,-133.03,133.03,,-143,130,,-9.97,-3.03,,,,,,,,
7/27/2024,Nationals,Cardinals,,4.87,,4.63,,,-105.18,105.18,,130,-135,,235.18,-240.18,,130,,,Yes,1.3,,
7/27/2024,Diamondbacks,Pirates,,6.19,,4.87,,,-127.10,127.10,,-167,150,,-39.90,22.90,,,150,,No,-1,,
7/27/2024,Athletics,Angels,,5.02,,3.98,,,-126.13,126.13,,106,-120,,232.13,-246.13,,106,,,Yes,1.06,,
,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,Reds,Rays,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,Padres,Orioles,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2024,,,,,,,,,,,,,,,,,,,,,,,,
