,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart
576,31,Apr 30,True,COL,"W,7-6",39,34,7,9,2,0,0,7,2,1,4,2,0,1,0,1,0,1,0.223,0.278,0.33,0.609,5,12,R,R.Feltner(63)
577,32,May 1,True,COL,"W,4-1",37,31,4,7,1,0,0,4,5,0,2,1,0,0,0,0,1,0,0.223,0.281,0.328,0.609,9,12,R,D.Hudson(51)
578,33,May 2,True,COL,"W,5-4",41,36,5,9,1,0,1,5,4,0,8,0,0,1,0,1,1,0,0.224,0.282,0.329,0.611,8,12,R,P.Lambert(34)
579,34,May 3,False,OAK,"L,1-3",36,33,1,7,2,1,0,1,2,0,10,1,0,0,0,1,2,0,0.223,0.282,0.33,0.611,8,12,L,J.Sears(70)
580,35,May 4,False,OAK,"L,4-20",35,33,4,7,3,0,2,4,2,0,4,0,0,0,0,1,0,0,0.223,0.281,0.334,0.615,4,13,R,P.Blackburn(67)
581,36,May 5,False,OAK,"W,12-3",45,39,12,14,3,0,1,12,5,0,8,1,0,0,0,1,3,1,0.228,0.287,0.34,0.626,6,10,R,J.Boyle(33)
582,37,May 6,False,LAD,"L,3-6",34,33,3,7,1,0,1,3,0,0,8,1,0,0,1,1,1,1,0.227,0.285,0.339,0.625,4,11,R,W.Buehler(42)
583,38,May 7,False,LAD,"L,2-8",33,33,2,6,1,0,2,2,0,0,6,0,0,0,0,0,0,0,0.226,0.283,0.341,0.624,4,9,R,Y.Yamamoto(69)
584,39,May 8,False,LAD,"L,1-3",32,32,1,6,0,0,1,1,0,0,6,0,0,0,0,1,0,0,0.225,0.281,0.339,0.62,4,9,R,G.Stone(65)
585,40,May 10,True,PHI,"L,2-8",34,31,2,5,4,0,0,2,3,0,11,0,0,0,0,1,0,0,0.224,0.28,0.338,0.618,5,10,L,R.Suárez(78)
586,41,May 11,True,PHI,"L,3-8",37,35,3,11,1,0,2,3,1,0,8,1,0,0,0,0,0,2,0.226,0.282,0.343,0.624,7,9,R,T.Walker(55)
587,42,May 12,True,PHI,"W,7-6",41,33,7,8,2,1,1,7,5,1,9,2,1,0,0,1,0,0,0.226,0.284,0.345,0.629,8,13,R,Z.Wheeler(25)
588,43,May 13,False,DET,"L,5-6",38,37,5,12,2,0,1,5,1,0,11,0,0,0,0,1,1,0,0.229,0.285,0.348,0.634,6,10,R,M.Manning(43)
589,44,May 14,False,DET,"W,1-0",32,32,1,4,0,0,0,1,0,0,8,0,0,0,0,1,0,1,0.227,0.282,0.343,0.626,2,12,R,R.Olson(82)
590,45,May 15,False,DET,"W,2-0",33,31,2,4,0,0,1,2,2,0,8,0,0,0,0,0,0,0,0.225,0.28,0.341,0.621,4,12,R,C.Mize(65)
591,46,May 17,True,NYM,"W,8-0",41,34,8,13,2,0,1,7,4,0,8,1,0,2,1,1,0,0,0.228,0.284,0.345,0.629,9,11,R,C.Scott(34)
592,47,May 18,True,NYM,"W,10-9",43,40,10,13,3,0,2,10,3,0,6,0,0,0,0,1,0,0,0.23,0.286,0.35,0.637,6,11,R,L.Severino(42)
593,48,May 19,True,NYM,"L,3-7",37,34,3,8,1,0,2,3,2,0,11,1,0,0,0,0,0,1,0.231,0.286,0.352,0.639,7,11,L,S.Manaea(52)
594,49,May 20,True,MIL,"W,3-2",39,30,3,7,0,0,0,3,6,2,4,1,2,0,0,2,4,0,0.231,0.288,0.35,0.638,9,11,R,J.Ross(50)
595,50,May 21,True,MIL,"L,5-7",40,35,5,12,1,0,0,5,0,0,7,2,1,2,1,2,0,0,0.233,0.29,0.351,0.64,8,12,L,R.Gasser(34)
596,51,May 22,True,MIL,"W,1-0",28,27,1,4,0,0,1,1,1,0,7,0,0,0,0,0,0,1,0.232,0.288,0.349,0.637,3,10,R,F.Peralta(71)
597,52,May 24,False,ARI,"W,3-0",34,32,3,9,1,0,1,3,1,0,5,1,0,0,0,2,0,2,0.232,0.289,0.35,0.639,4,10,R,Z.Gallen(53)
598,53,May 25,False,ARI,"L,2-3",37,36,2,11,4,0,0,2,1,0,8,0,0,0,0,0,0,1,0.234,0.289,0.352,0.641,8,11,L,J.Montgomery(49)
599,54,May 26,False,ARI,"W,3-1",41,37,3,9,1,0,0,2,2,0,10,2,0,0,0,0,0,0,0.234,0.29,0.35,0.64,11,11,L,B.Walston(59)
600,55,May 27,False,SDP,"L,1-2",33,31,1,4,3,0,1,1,2,0,11,0,0,0,0,0,1,0,0.232,0.288,0.349,0.638,5,10,R,M.King(63)
601,56,May 28,False,SDP,"L,0-4",33,33,0,6,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0.232,0.287,0.347,0.634,6,9,R,M.Waldron(73)
602,57,May 29,False,SDP,"W,9-1",46,44,9,16,2,1,1,8,2,0,6,0,0,0,1,0,3,0,0.235,0.289,0.351,0.64,10,11,R,Y.Darvish(38)
603,58,May 31,True,TEX,"W,8-2",39,34,8,12,2,0,2,8,4,1,4,0,0,1,1,1,2,1,0.237,0.291,0.355,0.646,7,9,R,J.Ureña(36)
604,59,Jun 1,True,TEX,"L,0-7",35,32,0,7,1,0,0,0,3,0,12,0,0,0,0,2,0,0,0.236,0.291,0.353,0.644,8,11,R,M.Lorenzen(68)
605,60,Jun 2,True,TEX,"L,0-6",32,32,0,7,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0.236,0.29,0.351,0.641,5,11,L,A.Heaney(71)
606,61,Jun 4,True,TBR,"L,5-9",40,39,5,12,1,1,1,5,0,0,12,0,0,1,1,0,0,0,0.237,0.29,0.353,0.644,8,10,R,R.Pepiot(56)
607,62,Jun 5,True,TBR,"L,3-5",35,34,3,7,1,0,0,3,0,0,6,1,0,0,0,0,0,0,0.237,0.289,0.351,0.641,5,11,R,Z.Eflin(51)
608,63,Jun 7,True,CLE,"W,3-2",34,31,3,7,2,0,2,3,3,0,4,0,0,0,0,0,1,0,0.237,0.289,0.353,0.643,7,10,L,L.Allen(56)
609,64,Jun 8,True,CLE,"L,0-8",33,31,0,4,1,0,0,0,2,0,9,0,0,0,0,0,0,0,0.235,0.288,0.351,0.638,6,11,R,B.Lively(62)
610,65,Jun 9,True,CLE,"L,3-6",32,32,3,5,2,0,2,3,0,0,9,0,0,0,0,0,0,0,0.234,0.286,0.351,0.637,2,12,R,C.Carrasco(51)
611,66,Jun 11,False,NYM,"W,4-2",36,32,4,6,2,0,0,4,2,0,13,1,0,1,0,0,1,0,0.233,0.285,0.35,0.635,5,10,R,T.Megill(48)
612,67,Jun 12,False,NYM,"L,4-10",37,35,4,9,3,0,0,4,2,0,8,0,0,0,0,1,0,0,0.234,0.286,0.35,0.635,6,12,L,D.Peterson(34)
613,68,Jun 13,False,NYM,"L,2-3",36,33,2,8,1,0,2,2,3,0,7,0,0,0,0,1,1,1,0.234,0.286,0.351,0.637,7,10,R,L.Severino(53)
614,69,Jun 14,False,WSN,"L,1-8",37,34,1,7,1,0,0,1,2,0,11,1,0,0,0,1,0,0,0.233,0.286,0.35,0.635,9,12,L,M.Gore(72)
615,70,Jun 15,False,WSN,"L,0-4",32,31,0,4,0,1,0,0,1,0,17,0,0,0,0,0,0,0,0.232,0.284,0.348,0.632,5,13,L,D.Herz(83)
616,71,Jun 16,False,WSN,"L,1-3",36,36,1,8,2,0,0,1,0,0,7,0,0,0,1,0,0,0,0.232,0.283,0.347,0.63,8,12,L,M.Parker(60)
617,72,Jun 17,True,STL,"L,6-7",44,38,6,8,1,2,1,6,4,1,6,0,2,0,0,2,0,1,0.232,0.283,0.348,0.631,5,13,R,S.Gray(63)
618,73,Jun 18,True,STL,"W,9-8",45,43,9,15,1,0,2,9,0,0,9,0,0,2,1,0,1,0,0.234,0.284,0.351,0.635,8,11,R,L.Lynn(31)
619,74,Jun 19,True,STL,"W,4-3",35,32,4,8,1,0,2,4,2,0,5,0,0,1,0,1,0,0,0.234,0.284,0.352,0.636,5,11,L,M.Liberatore(47)
620,75,Jun 21,True,SEA,"W,3-2",33,33,3,7,1,0,2,3,0,0,7,0,0,0,0,0,0,1,0.234,0.283,0.353,0.636,4,9,R,G.Kirby(64)
621,76,Jun 22,True,SEA,"L,0-9",31,30,0,4,2,0,0,0,1,0,8,0,0,0,2,3,0,0,0.232,0.282,0.351,0.633,4,12,R,L.Gilbert(79)
622,77,Jun 23,True,SEA,"W,6-4",33,29,6,7,1,0,2,6,3,0,9,0,1,0,0,0,0,2,0.232,0.282,0.353,0.635,3,10,R,B.Miller(28)
623,78,Jun 24,False,KCR,"L,1-4",35,32,1,4,2,0,0,1,3,0,15,0,0,0,1,0,0,0,0.231,0.281,0.351,0.632,7,10,L,C.Ragans(68)
624,79,Jun 25,False,KCR,"W,2-1",36,34,2,7,2,0,0,1,2,0,10,0,0,0,0,0,2,0,0.231,0.281,0.35,0.63,7,10,R,S.Lugo(74)
625,80,Jun 26,False,KCR,"L,1-5",32,31,1,5,2,0,0,1,1,0,6,0,0,0,0,0,0,1,0.23,0.28,0.348,0.628,4,9,R,B.Singer(68)
626,81,Jun 27,False,PHI,"W,7-4",42,38,7,13,3,0,1,6,2,0,9,2,0,0,0,2,1,0,0.232,0.282,0.35,0.632,8,11,R,Z.Wheeler(55)
627,82,Jun 28,False,PHI,"L,0-2",29,29,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.23,0.28,0.348,0.628,2,9,L,C.Sánchez(90)
628,83,Jun 29,False,PHI,"W,3-2",35,35,3,8,2,0,1,3,0,0,12,0,0,0,1,0,0,1,0.23,0.279,0.348,0.627,5,10,R,A.Nola(59)
629,84,Jun 30,False,PHI,"L,6-7",43,39,6,12,5,0,1,6,3,0,6,0,0,0,1,0,0,1,0.231,0.28,0.35,0.631,10,11,L,R.Suárez(18)
630,85,Jul 2,True,BOS,"L,3-8",34,34,3,7,0,0,2,3,0,0,9,0,0,0,0,0,0,0,0.231,0.279,0.351,0.63,4,9,R,K.Crawford(69)
631,86,Jul 3,True,BOS,"L,2-7",36,34,2,9,1,0,0,2,1,0,9,0,0,1,0,1,0,0,0.231,0.279,0.35,0.629,7,9,R,B.Bello(62)
632,87,Jul 4,True,BOS,"L,5-6",48,41,5,8,1,1,1,5,6,2,15,0,0,1,0,0,1,1,0.231,0.28,0.35,0.63,10,12,R,N.Pivetta(83)
633,88,Jul 5,True,CHW,"L,2-3",39,35,2,7,2,0,0,2,4,0,8,0,0,0,1,0,3,0,0.231,0.28,0.349,0.628,10,11,R,D.Thorpe(66)
634,89,Jul 6,True,CHW,"W,4-3",37,32,4,9,0,0,1,4,4,0,9,1,0,0,0,0,0,1,0.231,0.281,0.349,0.63,9,10,L,G.Crochet(46)
635,90,Jul 7,True,CHW,"W,7-4",40,32,7,7,4,0,1,7,7,1,4,0,1,0,1,0,1,1,0.231,0.282,0.35,0.632,7,11,R,J.Cannon(61)
636,91,Jul 9,False,HOU,"L,3-4",34,32,3,6,0,0,2,3,2,0,10,0,0,0,0,1,1,0,0.23,0.281,0.35,0.631,4,11,R,R.Blanco(67)
637,92,Jul 10,False,HOU,"L,1-9",31,30,1,6,0,0,0,1,1,0,14,0,0,0,0,3,0,0,0.23,0.281,0.349,0.63,3,11,L,F.Valdez(70)
638,93,Jul 11,False,HOU,"L,3-6",39,37,3,11,2,0,2,3,1,0,13,0,0,0,0,1,1,0,0.231,0.281,0.351,0.632,9,10,R,J.Bloss(49)
639,94,Jul 12,False,CIN,"L,4-7",38,37,4,11,2,0,1,4,1,0,11,0,0,0,1,2,0,0,0.232,0.281,0.352,0.633,7,9,R,C.Spiers(52)
640,95,Jul 13,False,CIN,"L,6-10",47,43,6,15,2,0,2,6,4,0,11,0,0,0,0,0,2,0,0.233,0.283,0.354,0.637,14,11,L,A.Abbott(28)
641,96,Jul 14,False,CIN,"W,3-2",38,33,3,9,2,0,0,3,4,0,8,0,1,0,0,1,2,1,0.234,0.284,0.354,0.638,8,11,L,N.Lodolo(50)
642,97,Jul 19,True,NYM,"W,6-4",37,33,6,10,2,0,1,6,3,0,6,0,0,1,0,0,2,0,0.234,0.285,0.355,0.64,7,9,L,S.Manaea(31)
643,98,Jul 20,True,NYM,"L,0-1",37,31,0,4,0,0,0,0,4,0,13,1,1,0,0,0,0,0,0.233,0.284,0.353,0.637,10,10,R,L.Severino(72)
644,99,Jul 21,True,NYM,"W,4-2",36,30,4,9,1,0,2,4,4,0,7,1,1,0,0,1,1,1,0.234,0.285,0.354,0.64,8,11,R,C.Scott(38)
645,100,Jul 22,True,NYM,"L,4-6",40,33,4,9,2,0,2,4,6,0,8,1,0,0,0,0,2,0,0.234,0.287,0.356,0.643,9,11,L,D.Peterson(47)
