,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart
466,83,Jun 30,False,ATL,"L,4-16",36,35,4,8,2,0,2,4,1,0,10,0,0,0,1,1,0,0,0.262,0.322,0.399,0.72,5,11,R,M.Soroka(55)
467,84,Jul 1,False,ATL,"L,0-7",35,33,0,6,1,0,0,0,2,0,6,0,0,0,0,0,0,0,0.261,0.321,0.397,0.717,8,9,R,C.Morton(65)
468,85,Jul 2,False,ATL,"L,3-6",36,35,3,8,1,0,0,3,1,0,12,0,0,0,1,0,0,1,0.26,0.32,0.395,0.715,6,12,R,S.Strider(60)
469,86,Jul 3,True,STL,"W,5-4",30,28,5,6,3,0,0,5,2,0,4,0,0,0,0,0,0,1,0.26,0.319,0.394,0.713,1,11,R,M.Mikolas(49)
470,87,Jul 4,True,STL,"W,15-2",50,43,15,19,5,0,2,14,6,0,7,1,0,0,0,1,1,0,0.263,0.322,0.399,0.721,11,12,R,A.Wainwright(25)
471,88,Jul 5,True,STL,"W,10-9",42,36,10,12,4,0,1,9,6,0,5,0,0,0,0,2,0,0,0.263,0.324,0.4,0.724,7,12,L,M.Liberatore(24)
472,89,Jul 6,True,STL,"L,0-3",37,35,0,9,2,0,0,0,2,0,7,0,0,0,0,1,0,0,0.263,0.323,0.399,0.723,10,9,R,J.Flaherty(59)
473,90,Jul 7,True,PHI,"L,3-4",35,35,3,9,2,0,1,3,0,0,9,0,0,0,0,1,0,0,0.263,0.323,0.399,0.722,5,11,R,Z.Wheeler(53)
474,91,Jul 8,True,PHI,"W,5-3",37,31,5,10,0,0,1,5,5,0,6,0,0,1,1,1,1,1,0.264,0.324,0.399,0.723,8,11,L,R.Suárez(39)
475,92,Jul 9,True,PHI,"W,7-3",36,36,7,13,2,0,3,7,0,0,8,0,0,0,1,1,0,0,0.265,0.324,0.403,0.727,5,9,R,A.Nola(44)
476,93,Jul 14,False,BAL,"L,2-5",35,32,2,5,1,0,1,2,2,0,11,1,0,0,1,1,0,0,0.264,0.323,0.401,0.724,6,10,R,D.Kremer(70)
477,94,Jul 15,False,BAL,"L,5-6",41,37,5,11,1,1,0,5,3,0,3,0,0,1,0,1,0,0,0.264,0.323,0.401,0.724,9,11,R,K.Gibson(29)
